Node ID,Distance,Conductance,Type,Name,EPSC
0,"[114.15409302358559, 220.9285964056956, 120.38868854121658, 178.37074302601945, 143.43776430954227]","[0.059663986012477, 2.228885627968518, 0.05430964952000561, 0.1078793173943227, 0.08964763173402175]",dend,"['L5PCtemplate[0].dend[32]', 'L5PCtemplate[0].dend[72]', 'L5PCtemplate[0].dend[33]', 'L5PCtemplate[0].dend[14]', 'L5PCtemplate[0].dend[58]']",-0.03651403965108102
1,"[120.38868854121658, 134.43247134517557, 116.96455005124055, 104.71130249161499, 68.01074554677353]","[0.10102669808867205, 0.3850740144362478, 0.2945764546231399, 0.19145891765297549, 0.05011125453869789]",dend,"['L5PCtemplate[1].dend[33]', 'L5PCtemplate[1].dend[67]', 'L5PCtemplate[1].dend[40]', 'L5PCtemplate[1].dend[4]', 'L5PCtemplate[1].dend[65]']",-0.028965145759229927
2,"[133.03318673269888, 116.94856380256056, 100.96950177156991, 101.98687132330745, 131.54209788544483]","[0.216938014908918, 2.3588459174744685, 0.02458513739561963, 0.076836579279398, 0.14485805140400396]",dend,"['L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[82]', 'L5PCtemplate[2].dend[62]']",-0.07722370388307809
3,"[86.19613726756356, 90.61400111749089, 69.15359332682125, 90.61400111749089, 64.34817036737246]","[0.19348684873360142, 1.537715802851269, 0.7934346864310889, 0.10937278207199805, 0.2537935716003312]",dend,"['L5PCtemplate[3].dend[4]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[6]']",-0.05597722862376031
4,"[158.1431732900972, 109.94421115086885, 155.86712106725082, 146.01110421120347, 25.153635303841966]","[0.4010285375178583, 0.0957589317552014, 0.006550152430853429, 0.023568994593620256, 0.4343582911360873]",dend,"['L5PCtemplate[4].dend[28]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[67]', 'L5PCtemplate[4].dend[69]', 'L5PCtemplate[4].dend[7]']",-0.00028447446993595804
5,"[123.36762958838811, 120.38868854121658, 62.29762052507359, 126.69388733406447, 114.15409302358559]","[0.03539993712694127, 0.01919496180773839, 0.03877785897589871, 0.2781791442567031, 0.33930599640383735]",dend,"['L5PCtemplate[5].dend[24]', 'L5PCtemplate[5].dend[33]', 'L5PCtemplate[5].dend[45]', 'L5PCtemplate[5].dend[41]', 'L5PCtemplate[5].dend[32]']",-0.03597346660058065
6,"[43.79339593421373, 178.37074302601945, 61.79997353369858, 21.19770181309925, 68.94748552015548]","[0.272399663011343, 0.23838562843763647, 0.11046654459861893, 0.45982650341385317, 0.19497637647883112]",dend,"['L5PCtemplate[6].dend[64]', 'L5PCtemplate[6].dend[14]', 'L5PCtemplate[6].dend[2]', 'L5PCtemplate[6].dend[39]', 'L5PCtemplate[6].dend[29]']",-0.016696883378131133
7,"[130.03362670112426, 172.46251877385134, 104.99675813988493, 126.79328158930532, 74.88580032951214]","[0.0156697931221353, 0.31836095797274283, 0.04369445287421508, 0.41647127858673794, 0.006113546742252391]",dend,"['L5PCtemplate[7].dend[66]', 'L5PCtemplate[7].dend[40]', 'L5PCtemplate[7].dend[49]', 'L5PCtemplate[7].dend[2]', 'L5PCtemplate[7].dend[35]']",-0.0006989070683971477
8,"[153.96319586631438, 77.5076075414143, 83.3175177762149, 19.134581469327554, 21.99791443707396]","[0.05270720409183858, 0.12035653554961895, 0.075681743381468, 0.038484967720888344, 0.015302822542926059]",dend,"['L5PCtemplate[8].dend[40]', 'L5PCtemplate[8].dend[44]', 'L5PCtemplate[8].dend[21]', 'L5PCtemplate[8].dend[42]', 'L5PCtemplate[8].dend[63]']",-0.012976557948718437
9,"[101.42502984666582, 153.96319586631438, 49.484739032008434, 121.35133217772845, 125.5981794534687]","[0.528798436771604, 0.1482204292026144, 0.07488271265349401, 0.2537185675457272, 0.1886563945821058]",dend,"['L5PCtemplate[9].dend[27]', 'L5PCtemplate[9].dend[40]', 'L5PCtemplate[9].dend[18]', 'L5PCtemplate[9].dend[82]', 'L5PCtemplate[9].dend[58]']",-0.016610920751247704
