BMTK ID,X,Type,Sec ID,Distance,Coord X,Coord Y,Coord Z,Elec_distance
0,0.1,soma,0,2.316936211856009,-9.249732639840964,-0.5776739494736935,0.0,0.9983513616005604
0,0.30000000000000004,soma,0,6.950808635568026,-4.624868325265066,-0.2888769430503999,0.0,0.9993844693731405
0,0.5,soma,0,11.584681059280044,-1.0303096396935274e-05,2.0760161670810295e-05,0.0,1.0
0,0.7,soma,0,16.21855348299206,4.624853611370543,0.288824174066941,0.0,0.9993967415026856
0,0.8999999999999999,soma,0,20.85242590670408,9.24971163361956,0.5777218759931336,0.0,0.998328296039202
1,0.1,dend,0,14.00476888229087,12.80351986249955,2.4309691159025526,0.22274557054615812,0.894724526111827
1,0.30000000000000004,dend,0,18.84494452831252,17.00700609288501,3.582699006715475,-0.3074754703348408,0.7786787217181196
1,0.5,dend,0,23.685120174334173,20.9964386149498,2.684265317043772,-1.7418129589929126,0.6814912046863115
1,0.7,dend,0,28.525295820355822,23.740931726186492,1.3162929565030106,2.003011398371793,0.601793826643535
1,0.8999999999999999,dend,0,33.36547146637747,26.393064024232192,0.15869046271449386,5.288541857559243,0.5365410423394231
2,0.16666666666666666,dend,1,38.315925328562045,30.94213277604129,0.8095351345813251,6.897497676693204,0.4624835706852126
2,0.5,dend,1,43.376657406909544,35.073779292207774,1.7805777713471522,9.602659410834546,0.3903233505330198
2,0.8333333333333333,dend,1,48.43738948525704,38.00282230642148,1.5912491501985173,6.075716170718049,0.33669235363545996
3,0.016129032258064516,dend,2,53.41374023620094,41.32284767698971,3.769169686068501,6.468746661567144,0.273848839153659
3,0.04838709677419355,dend,2,58.305709659741225,43.56854157584112,7.98097659261588,7.367501058773285,0.21650510190487848
3,0.08064516129032258,dend,2,63.197679083281514,45.98814930714325,11.359704137423806,8.452419024725712,0.178609607451166
3,0.11290322580645161,dend,2,68.08964850682182,48.953998413891135,14.144380390228854,7.104094693504168,0.15183114927988284
3,0.14516129032258063,dend,2,72.9816179303621,51.755301727266264,16.113099897869013,7.251712127283414,0.13194916617726504
3,0.17741935483870966,dend,2,77.8735873539024,54.31519296904584,18.91632635724731,10.337204617195662,0.11662208963341829
3,0.2096774193548387,dend,2,82.76555677744268,57.321382520503086,22.388916127330823,11.018780887481821,0.1044539106589232
3,0.24193548387096772,dend,2,87.65752620098299,59.54369233125615,25.34311670738777,13.717749397057888,0.09456330511423955
3,0.27419354838709675,dend,2,92.54949562452326,62.70945679010634,27.343313905119015,16.660200733760654,0.0863675172846981
3,0.30645161290322576,dend,2,97.44146504806356,64.80372998836071,30.32364671131024,18.130129126105647,0.07946626662118145
3,0.33870967741935476,dend,2,102.33343447160385,66.82029024672661,32.789840756953,21.228431593325467,0.0735757343844267
3,0.37096774193548376,dend,2,107.22540389514414,71.0092345959828,35.21500320659158,21.572384339011364,0.06848919335700349
3,0.40322580645161277,dend,2,112.11737331868444,74.57536663242637,37.802357156384375,23.256637847324594,0.06405255830083414
3,0.43548387096774177,dend,2,117.00934274222475,77.37355720434105,40.31221090916771,26.26169679513003,0.06014866660967645
3,0.4677419354838708,dend,2,121.90131216576502,79.41281775476926,44.56780429091067,26.933671259895068,0.056686863684636386
3,0.4999999999999998,dend,2,126.79328158930532,79.28668192547615,46.98384594244011,24.109301823714617,0.05359591932842395
3,0.5322580645161288,dend,2,131.68525101284558,79.56886913853603,48.35682595991313,19.757776259411195,0.05081909701351075
3,0.5645161290322578,dend,2,136.57722043638591,81.37693995376219,51.17076824061759,18.03860947555206,0.04831065052121394
3,0.5967741935483868,dend,2,141.4691898599262,83.26054127254238,55.187489322818145,19.285300387508087,0.04603328867303678
3,0.6290322580645158,dend,2,146.36115928346646,84.35450205203728,59.69935137373602,18.524630487074106,0.04395631014873193
3,0.6612903225806448,dend,2,151.2531287070068,86.9781264133283,63.29920613414222,18.048092792010095,0.042054210697769476
3,0.6935483870967738,dend,2,156.14509813054707,89.19729450770787,66.77181610472107,17.557063917965692,0.04030562894750489
3,0.7258064516129028,dend,2,161.03706755408734,91.70720366931627,70.84837381990826,16.8405285178758,0.03869253859769766
3,0.7580645161290318,dend,2,165.92903697762767,91.84328944484989,73.84551239916419,19.53758414721929,0.03719962239189451
3,0.7903225806451608,dend,2,170.82100640116795,91.96295408772093,76.97978728666206,23.0628641591422,0.035813781905116936
3,0.8225806451612898,dend,2,175.71297582470822,94.06746725272272,79.4539005221337,26.536775704794696,0.03445836574496266
3,0.8548387096774188,dend,2,180.6049452482485,93.54015946380787,83.17250010882043,29.38056172550691,0.030889549497118227
3,0.8870967741935478,dend,2,185.49691467178883,95.18349490691114,86.80450736769795,30.700000762939453,0.02733735092418532
3,0.9193548387096768,dend,2,190.3888840953291,96.54776044816116,91.04691452784597,30.9750073181974,0.0245080667068278
3,0.9516129032258058,dend,2,195.28085351886938,99.33366334386835,92.42555568678246,34.12499058873771,0.022202089651116575
3,0.9838709677419348,dend,2,200.1728229424097,101.02278216410747,96.28470917942346,35.494566933125064,0.020286792902044937
4,0.5,dend,3,54.695572477958606,42.963888462621235,1.8359256822789611,8.710784391238734,0.2868118824494519
5,0.02631578947368421,dend,4,60.859595382019506,47.37669632875304,1.853373845418293,11.481515888171486,0.2334532851259325
5,0.07894736842105263,dend,4,65.73200728308566,48.91550790541371,1.853373845418293,16.104551326623834,0.189969716424681
5,0.13157894736842105,dend,4,70.60441918415184,51.53394096247341,1.7825735149087092,20.15969208812135,0.1598728150610523
5,0.18421052631578946,dend,4,75.476831085218,52.4372923714774,0.6465955608587132,24.652648145870813,0.13788264209528037
