Node ID,Distance,Conductance,Type,Name
0,379.58476907278674,0.4,apic,L5PCtemplate[0].apic[9]
1,320.3812671851626,0.4,apic,L5PCtemplate[1].apic[12]
2,468.6693537968005,0.4,apic,L5PCtemplate[2].apic[35]
3,230.80523374005736,0.4,apic,L5PCtemplate[3].apic[102]
4,93.07159617395864,0.4,dend,L5PCtemplate[4].dend[54]
5,303.85431458375433,0.4,apic,L5PCtemplate[5].apic[85]
6,159.52248736022364,0.4,dend,L5PCtemplate[6].dend[14]
7,231.9158829836171,0.4,apic,L5PCtemplate[7].apic[79]
8,170.12215362637647,0.4,dend,L5PCtemplate[8].dend[2]
9,1256.1271403859382,0.4,apic,L5PCtemplate[9].apic[65]
10,135.46387295877747,0.4,dend,L5PCtemplate[10].dend[40]
11,166.2683162119933,0.4,dend,L5PCtemplate[11].dend[35]
12,1160.5177435476412,0.4,apic,L5PCtemplate[12].apic[67]
13,360.4140218545981,0.4,apic,L5PCtemplate[13].apic[29]
14,1151.7151685370425,0.4,apic,L5PCtemplate[14].apic[77]
15,114.45093534896017,0.4,dend,L5PCtemplate[15].dend[54]
16,91.56317190102511,0.4,dend,L5PCtemplate[16].dend[67]
17,1034.9073069284893,0.4,apic,L5PCtemplate[17].apic[49]
18,73.78483825144616,0.4,dend,L5PCtemplate[18].dend[26]
19,819.078885107589,0.4,apic,L5PCtemplate[19].apic[37]
20,66.91099239677285,0.4,dend,L5PCtemplate[20].dend[10]
21,53.117938220707586,0.4,dend,L5PCtemplate[21].dend[48]
22,386.6853090271192,0.4,apic,L5PCtemplate[22].apic[29]
23,309.0085548012233,0.4,apic,L5PCtemplate[23].apic[101]
24,205.95709008267312,0.4,apic,L5PCtemplate[24].apic[79]
25,125.3566566162255,0.4,dend,L5PCtemplate[25].dend[69]
26,299.37612342372216,0.4,apic,L5PCtemplate[26].apic[10]
27,922.8358253746583,0.4,apic,L5PCtemplate[27].apic[60]
28,1129.9786252269105,0.4,apic,L5PCtemplate[28].apic[78]
29,1001.1614376649596,0.4,apic,L5PCtemplate[29].apic[46]
30,130.03362670112426,0.4,dend,L5PCtemplate[30].dend[66]
31,1272.0712877706492,0.4,apic,L5PCtemplate[31].apic[77]
32,135.8111998862337,0.4,dend,L5PCtemplate[32].dend[59]
33,64.34817036737246,0.4,dend,L5PCtemplate[33].dend[6]
34,305.1546690250625,0.4,apic,L5PCtemplate[34].apic[17]
35,901.6418642955131,0.4,apic,L5PCtemplate[35].apic[60]
36,256.44604565619005,0.4,apic,L5PCtemplate[36].apic[98]
37,62.204840638074714,0.4,dend,L5PCtemplate[37].dend[83]
38,425.4909328219618,0.4,apic,L5PCtemplate[38].apic[35]
39,266.3004727952778,0.4,apic,L5PCtemplate[39].apic[9]
40,157.7359929154133,0.4,dend,L5PCtemplate[40].dend[59]
41,63.25794961446548,0.4,dend,L5PCtemplate[41].dend[82]
42,236.03288425906243,0.4,dend,L5PCtemplate[42].dend[28]
43,1129.7695508672211,0.4,apic,L5PCtemplate[43].apic[75]
44,127.9039575867526,0.4,apic,L5PCtemplate[44].apic[105]
