Node ID,Distance,Conductance,Type,EPSP
0,1260.9908310564795,13.5,apic,0.2711845959952939
1,1260.9908310564795,13.5,apic,0.2711845959952939
2,1289.0294885812198,13.5,apic,0.0
3,1272.0712877706492,13.5,apic,0.06470107080272669
4,1266.1545769386835,13.5,apic,0.270318625843899
