Node ID,Distance,Conductance,Type,Name,EPSC
195,"[383.46384024680384, 287.990594829481, 354.2599060505388, 478.0065809259785, 381.95239250561684, 383.53218282262037, 360.4140218545981, 402.5403908502934]","[1.1559128710212931, 0.10355852447763367, 0.05328265294915281, 0.11682184443240635, 0.12029954425089419, 0.28410710774123443, 0.028327652035301618, 0.3122996036378132]",apic,"['L5PCtemplate[195].apic[23]', 'L5PCtemplate[195].apic[20]', 'L5PCtemplate[195].apic[22]', 'L5PCtemplate[195].apic[36]', 'L5PCtemplate[195].apic[34]', 'L5PCtemplate[195].apic[24]', 'L5PCtemplate[195].apic[29]', 'L5PCtemplate[195].apic[36]']",-0.009624775816519104
196,"[266.3004727952778, 275.47722612391834, 254.24743952539205, 272.6730029880563, 261.80710415299075]","[0.08063102451775504, 0.358415553060715, 0.3997144367875556, 0.11936300540976182, 0.25172280618163817]",apic,"['L5PCtemplate[196].apic[9]', 'L5PCtemplate[196].apic[8]', 'L5PCtemplate[196].apic[14]', 'L5PCtemplate[196].apic[20]', 'L5PCtemplate[196].apic[8]']",-0.023544659660501566
197,"[1289.2205100918568, 1129.7695508672211, 1171.0319160374543, 1202.723808268395, 1266.1702708969417, 1267.6108644089568]","[1.544916514623149, 3.375631943266849, 3.258200603704584, 3.636458136394277, 0.8919229858815485, 0.7938053150397113]",apic,"['L5PCtemplate[197].apic[73]', 'L5PCtemplate[197].apic[75]', 'L5PCtemplate[197].apic[76]', 'L5PCtemplate[197].apic[71]', 'L5PCtemplate[197].apic[73]', 'L5PCtemplate[197].apic[67]']",-0.010041593777998514
198,"[1070.0447388119308, 981.6379106927734, 982.4240557244341]","[0.6747242893201958, 0.958640229460932, 1.9170241223562436]",apic,"['L5PCtemplate[198].apic[49]', 'L5PCtemplate[198].apic[61]', 'L5PCtemplate[198].apic[68]']",-0.003506386261165062
199,"[211.18036935758454, 356.3369328288799, 250.0896735546317, 254.24743952539205, 272.6730029880563]","[0.022957072416718932, 0.0743729765453926, 0.23864266511053892, 0.19043043238131516, 0.6379927170743772]",apic,"['L5PCtemplate[199].apic[14]', 'L5PCtemplate[199].apic[25]', 'L5PCtemplate[199].apic[10]', 'L5PCtemplate[199].apic[14]', 'L5PCtemplate[199].apic[20]']",-0.019161324787830836
200,"[1052.47602287021, 1122.9822048259407, 1082.1057865991384, 1129.9786252269105, 962.3558687813563, 1061.9376052984048]","[2.053423019737971, 1.971957285223494, 2.3792641052675902, 0.6016887251409412, 1.7466928164342492, 0.8905311590323096]",apic,"['L5PCtemplate[200].apic[49]', 'L5PCtemplate[200].apic[69]', 'L5PCtemplate[200].apic[75]', 'L5PCtemplate[200].apic[78]', 'L5PCtemplate[200].apic[61]', 'L5PCtemplate[200].apic[69]']",-0.009282574463043147
201,"[211.18036935758454, 337.33349416475295, 359.76838909913823, 324.23749899931823, 328.36525758999204, 252.4785624580402, 350.34871466787376]","[0.03755440111580311, 0.0848399452294902, 0.037524150683252, 0.5566486217866737, 0.07238386918653637, 0.11847107502551574, 0.029355198377632064]",apic,"['L5PCtemplate[201].apic[14]', 'L5PCtemplate[201].apic[34]', 'L5PCtemplate[201].apic[30]', 'L5PCtemplate[201].apic[21]', 'L5PCtemplate[201].apic[18]', 'L5PCtemplate[201].apic[93]', 'L5PCtemplate[201].apic[18]']",-0.0068218262711639
202,"[205.95709008267312, 189.59237466332434, 279.9602991912391, 205.95709008267312, 261.94854786234214]","[0.03260189224248067, 0.05046225825854298, 0.049017721495969356, 0.8688577852360547, 1.0874335095577767]",apic,"['L5PCtemplate[202].apic[79]', 'L5PCtemplate[202].apic[92]', 'L5PCtemplate[202].apic[86]', 'L5PCtemplate[202].apic[79]', 'L5PCtemplate[202].apic[87]']",-0.032966992272065454
203,"[905.9851485104439, 1052.47602287021, 886.396013799319, 982.4240557244341, 1001.1614376649596]","[1.2346677921893168, 6.047766612803586, 0.7183880579029268, 3.2316823472392118, 4.442396177401319]",apic,"['L5PCtemplate[203].apic[51]', 'L5PCtemplate[203].apic[49]', 'L5PCtemplate[203].apic[51]', 'L5PCtemplate[203].apic[68]', 'L5PCtemplate[203].apic[46]']",-0.018054942623280112
204,"[288.1820293585134, 363.98178236557567, 383.53218282262037, 306.3818005121103, 354.2599060505388, 287.990594829481]","[0.33017413135795554, 0.729621583642173, 0.4371775100505305, 0.10181984236120091, 0.044692742351769184, 0.27696462365904084]",apic,"['L5PCtemplate[204].apic[16]', 'L5PCtemplate[204].apic[19]', 'L5PCtemplate[204].apic[24]', 'L5PCtemplate[204].apic[18]', 'L5PCtemplate[204].apic[22]', 'L5PCtemplate[204].apic[20]']",-0.01283440382877643
