Node ID,Distance,Conductance,Type,Name,EPSC
16,"[120.38868854121658, 84.12946469704029, 153.96319586631438]","[0.10653640938241568, 0.32548531142108617, 0.26516020859080786]",dend,"['L5PCtemplate[16].dend[33]', 'L5PCtemplate[16].dend[14]', 'L5PCtemplate[16].dend[40]']",-0.01821419539140834
17,"[207.97444699613737, 244.07708083192296, 157.2096136989632]","[0.06243490295616478, 0.15195437128247588, 1.2633585259706457]",dend,"['L5PCtemplate[17].dend[69]', 'L5PCtemplate[17].dend[70]', 'L5PCtemplate[17].dend[54]']",0.0
18,"[70.38469050977113, 125.3566566162255, 204.37011221248093, 66.91099239677285, 113.79450671422445, 143.422687241373, 204.37011221248093]","[0.5279822162941717, 0.08229603924522653, 0.21051001537254657, 0.2998057430573055, 0.11729698459817466, 0.09442850299661032, 0.12736581470783123]",dend,"['L5PCtemplate[18].dend[48]', 'L5PCtemplate[18].dend[69]', 'L5PCtemplate[18].dend[70]', 'L5PCtemplate[18].dend[10]', 'L5PCtemplate[18].dend[31]', 'L5PCtemplate[18].dend[35]', 'L5PCtemplate[18].dend[70]']",-0.05142307524010903
19,"[92.38622512914618, 52.04017135889184]","[0.2620450714239511, 0.21502045925213956]",dend,"['L5PCtemplate[19].dend[30]', 'L5PCtemplate[19].dend[35]']",0.0
20,"[65.55045704893816, 197.0880287745798, 94.1963273456084, 109.30215553762554, 87.65144279883467, 204.37011221248093]","[0.0799763595020231, 0.05374122642028311, 0.2615827494724056, 0.17430529202506792, 0.10161938933407026, 0.10181593890606629]",dend,"['L5PCtemplate[20].dend[72]', 'L5PCtemplate[20].dend[28]', 'L5PCtemplate[20].dend[51]', 'L5PCtemplate[20].dend[56]', 'L5PCtemplate[20].dend[48]', 'L5PCtemplate[20].dend[70]']",-0.010713925682637182
21,"[123.06884341192504, 135.8111998862337]","[0.4110840684392953, 0.36248244433683213]",dend,"['L5PCtemplate[21].dend[74]', 'L5PCtemplate[21].dend[59]']",-0.01721336710858168
22,"[190.96184168138825, 96.89358253592437, 177.30177078932604, 134.43247134517557, 49.484739032008434]","[0.4052795070756952, 0.08981643258326484, 0.12632096202441223, 0.3091462916942037, 0.03342627023675346]",dend,"['L5PCtemplate[22].dend[40]', 'L5PCtemplate[22].dend[60]', 'L5PCtemplate[22].dend[67]', 'L5PCtemplate[22].dend[67]', 'L5PCtemplate[22].dend[18]']",-0.010105230754220429
23,"[144.809659283318, 91.56317190102511]","[0.0577368475297815, 0.2724935972152595]",dend,"['L5PCtemplate[23].dend[70]', 'L5PCtemplate[23].dend[67]']",-0.002227222687167796
24,"[92.38622512914618, 80.32105935919517, 141.74163293971782, 133.5473200135147, 90.68340297221485, 140.51513324199686, 131.4997229334096, 52.04017135889184]","[0.6300468834490861, 0.16947505450721434, 0.040782039102704795, 0.059678512919144534, 0.08579901980087924, 0.12559117443026294, 0.19488214513916674, 0.035594251183589186]",dend,"['L5PCtemplate[24].dend[30]', 'L5PCtemplate[24].dend[75]', 'L5PCtemplate[24].dend[4]', 'L5PCtemplate[24].dend[32]', 'L5PCtemplate[24].dend[66]', 'L5PCtemplate[24].dend[6]', 'L5PCtemplate[24].dend[37]', 'L5PCtemplate[24].dend[35]']",-0.005121588242218422
25,"[91.22777645270646, 92.38622512914618, 83.3175177762149, 65.1512755144224]","[0.1168222142337914, 0.13897889870328337, 0.07000826475134272, 0.07878064353176553]",dend,"['L5PCtemplate[25].dend[56]', 'L5PCtemplate[25].dend[30]', 'L5PCtemplate[25].dend[21]', 'L5PCtemplate[25].dend[68]']",-0.01286473738417726
26,"[132.4685610854313, 133.53481669883018]","[0.9094016541931691, 0.0793572380360459]",dend,"['L5PCtemplate[26].dend[31]', 'L5PCtemplate[26].dend[5]']",-0.03237604139485484
27,"[157.2096136989632, 89.91900974132152, 116.94856380256056, 116.94856380256056, 131.54209788544483, 167.26752669263527]","[0.05109677991631439, 0.08567309512416116, 0.3252856076729246, 0.2173739991719476, 0.11888559664694547, 0.4456084023214002]",dend,"['L5PCtemplate[27].dend[54]', 'L5PCtemplate[27].dend[58]', 'L5PCtemplate[27].dend[77]', 'L5PCtemplate[27].dend[77]', 'L5PCtemplate[27].dend[62]', 'L5PCtemplate[27].dend[74]']",-0.022154552594599863
28,"[83.7622620580905, 83.46440955223416, 159.55687396065298, 83.38991108602856, 68.97818967932899, 133.53481669883018, 159.55687396065298]","[0.28873305609886357, 0.06378752317513983, 0.16396538130145658, 0.535842466166178, 0.22932440743330512, 0.22598856373874351, 0.32712382456042916]",dend,"['L5PCtemplate[28].dend[15]', 'L5PCtemplate[28].dend[2]', 'L5PCtemplate[28].dend[6]', 'L5PCtemplate[28].dend[6]', 'L5PCtemplate[28].dend[15]', 'L5PCtemplate[28].dend[5]', 'L5PCtemplate[28].dend[6]']",-0.06555011139823819
