type,distance,attenuation
soma,11.584681059280044,1.0
dend,23.685120174334173,0.9916016221584688
dend,43.376657406909544,0.9787656785608827
dend,61.79997353369858,0.9663403238475864
dend,83.46440955223416,0.9550304598989672
dend,105.12884557076974,0.9458511861966573
dend,126.79328158930532,0.9387819210910937
dend,148.4577176078409,0.9338074942361653
dend,170.12215362637647,0.9309168675586869
dend,191.78658964491206,0.9277510969390604
dend,54.695572477958606,0.9712820985558562
dend,67.68097204351214,0.9657990033316732
dend,86.19613726756356,0.95981280127349
dend,104.71130249161499,0.955387560504359
dend,123.2264677156664,0.9525168193356104
dend,141.74163293971782,0.9511955331592261
dend,69.15359332682125,0.9626595145475623
dend,90.61400111749089,0.9509308260310848
dend,112.07440890816054,0.9412846614510834
dend,133.53481669883018,0.9337008232285776
dend,154.99522448949983,0.9281561891377504
dend,176.45563228016948,0.9133027859015249
dend,197.91604007083907,0.9014997562949539
dend,219.37644786150878,0.8936595394371669
dend,240.83685565217837,0.8897477494298918
dend,45.30642964871635,0.9805426014884181
dend,64.34817036737246,0.9708102939272899
dend,83.38991108602856,0.9503775727548853
dend,102.43165180468468,0.9459617837990154
dend,121.47339252334079,0.9429119904712971
dend,140.51513324199686,0.9364922024458657
dend,159.55687396065298,0.9332749011929968
dend,25.153635303841966,0.9932535035751912
dend,46.95412193191092,0.9855219592087517
dend,63.15924307395112,0.9824603593453037
dend,66.91099239677285,0.9813769540205197
dend,90.36166855948268,0.9717200476809363
dend,113.81234472219249,0.9666816004294263
dend,42.76233532979531,0.9858220486648329
dend,60.75370898766455,0.9773545489030395
dend,85.23817306740301,0.96716174888723
dend,106.30384547392431,0.944051921582588
dend,127.3695178804456,0.9249395788905627
dend,148.43519028696687,0.9097450432573454
dend,169.50086269348816,0.8984044145794139
dend,190.56653510000945,0.8908706302656119
dend,211.63220750653073,0.8871118375524301
dend,84.12946469704029,0.9673779791429167
dend,102.97772036283612,0.9593915241165537
dend,121.82597602863196,0.9530229862081947
dend,140.67423169442782,0.9482619974242392
dend,159.52248736022364,0.9451007375255459
dend,178.37074302601945,0.941145430062717
dend,197.21899869181533,0.9379787226514784
dend,54.194117300567484,0.9825739215077028
dend,68.97818967932899,0.9812447266798815
dend,83.7622620580905,0.9792802566577508
dend,17.007759883768998,0.995679691992726
dend,25.98002923331516,0.9883698800147045
dend,49.484739032008434,0.9809541186955402
dend,84.0851219578796,0.9758231293995695
dend,70.31308345357617,0.9776058682876776
dend,83.3175177762149,0.9749807224952522
dend,78.6865814500416,0.974944528128687
dend,93.68792714710914,0.9681986894077897
dend,108.68927284417667,0.9635186518839063
dend,118.60562735198347,0.9621000096138405
dend,123.36762958838811,0.9612673269934405
dend,43.55461003450599,0.9756209366352024
dend,73.78483825144616,0.9573507473948102
dend,101.42502984666582,0.9477433105376554
dend,124.29573715549212,0.9431477964901198
dend,147.16644446431837,0.9408554347041367
dend,99.72589006337334,0.9461198883958949
dend,119.19831780561462,0.9405657916812484
dend,138.67074554785592,0.9361296094904696
dend,158.1431732900972,0.9320147681799033
dend,177.61560103233853,0.9263037033234968
dend,197.0880287745798,0.9222642932928192
dend,216.5604565168211,0.9154380322240144
dend,236.03288425906243,0.9088804269776608
dend,255.5053120013037,0.9056075897385589
dend,68.94748552015548,0.9608489148718384
dend,92.38622512914618,0.9467263524868106
dend,113.79450671422445,0.9321553558522849
dend,132.4685610854313,0.9200600993561011
dend,151.14261545663817,0.9110230236635221
dend,169.81666982784498,0.9050150364360009
dend,188.49072419905184,0.9020158919646217
dend,114.15409302358559,0.937964112616075
dend,133.5473200135147,0.9354951912419635
dend,152.9405470034439,0.9326185029889842
dend,172.33377399337303,0.9287577353942382
dend,191.72700098330216,0.925445947689504
dend,88.32971429198041,0.9531635865149299
dend,104.35920141659851,0.949338009606729
dend,120.38868854121658,0.9466706062364827
dend,136.41817566583467,0.9451583818291637
dend,152.4476627904528,0.9431364826461884
dend,31.524097790919825,0.9860828031976497
dend,52.04017135889184,0.9745268425313128
dend,74.88580032951214,0.9635816583244463
dend,97.73142930013243,0.9550237444551679
dend,120.57705827075272,0.9488325982608475
dend,143.422687241373,0.9430967297227231
dend,166.2683162119933,0.9338488504304755
dend,189.11394518261358,0.9292361888195753
dend,49.11656274943088,0.9756816083703254
dend,66.11497450112924,0.9659716205374117
dend,83.1133862528276,0.9575871858781051
dend,104.90830239692104,0.9446276295455079
dend,131.4997229334096,0.9321282854087212
dend,158.09114346989816,0.9258994634757538
dend,102.77385335077885,0.9513880283399145
dend,125.09637579498302,0.948310149989126
dend,147.41889823918723,0.9447285631442831
dend,21.19770181309925,0.9940140038945366
dend,40.42374332073766,0.9831902774145888
dend,59.64978482837607,0.9735032581530805
dend,78.87582633601447,0.9649422018798884
