SectionName,BMTK ID,X,Type,Sec ID,Distance,Coord X,Coord Y,Coord Z,Degrees
L5PCtemplate[0].apic[0],85,0.05555555555555555,apic,0,14.147770524198286,-2.3031510617432334,11.476586810336368,0.07163914081337308,1
L5PCtemplate[0].apic[0],85,0.16666666666666666,apic,0,19.273949454034774,-3.5545659073005136,16.424750890739187,0.04674339946271619,1
L5PCtemplate[0].apic[0],85,0.2777777777777778,apic,0,24.400128383871266,-4.910494745478945,21.177869643708163,-1.2169339095175231,1
L5PCtemplate[0].apic[0],85,0.3888888888888889,apic,0,29.52630731370775,-5.852708544049946,26.024932073398038,-2.4383968891960306,1
L5PCtemplate[0].apic[0],85,0.5,apic,0,34.65248624354424,-6.340005960208934,30.845376090121146,-2.9852700864827604,1
L5PCtemplate[0].apic[0],85,0.6111111111111112,apic,0,39.77866517338073,-8.521669269979725,34.421784598196496,-0.8649359622172996,1
L5PCtemplate[0].apic[0],85,0.7222222222222223,apic,0,44.90484410321722,-9.951965378110478,39.06393610325003,-2.313896100235341,1
L5PCtemplate[0].apic[0],85,0.8333333333333335,apic,0,50.031023033053714,-10.397785965164287,43.520469878088896,-4.758697174665067,1
L5PCtemplate[0].apic[0],85,0.9444444444444446,apic,0,55.157201962890184,-11.94500466017756,47.7515829588512,-6.995737680227274,1
L5PCtemplate[0].apic[100],185,0.5,apic,100,158.2100911073697,10.614086454148751,97.87338002522785,0.5035242045110166,4
L5PCtemplate[0].apic[101],186,0.016129032258064516,apic,101,163.57216622989256,14.151608514232972,99.1938994513113,4.017156217280587,5
L5PCtemplate[0].apic[101],186,0.04838709677419355,apic,101,168.71385673493958,18.33388060918231,99.277834795931,6.730487986262529,5
L5PCtemplate[0].apic[101],186,0.08064516129032258,apic,101,173.85554723998663,20.4235470395169,100.00571377395029,11.205604897168996,5
L5PCtemplate[0].apic[101],186,0.1129032258064516,apic,101,178.99723774503371,24.801946888536378,101.36262575230751,13.049819474941632,5
L5PCtemplate[0].apic[101],186,0.14516129032258066,apic,101,184.1389282500808,28.08574916547295,104.1347947189305,15.390213702780747,5
L5PCtemplate[0].apic[101],186,0.17741935483870966,apic,101,189.28061875512776,31.337448663547192,105.21781303445574,12.876097322339685,5
L5PCtemplate[0].apic[101],186,0.2096774193548387,apic,101,194.4223092601748,33.286453419744426,107.1715972840851,17.01678408593878,5
L5PCtemplate[0].apic[101],186,0.2419354838709677,apic,101,199.56399976522187,37.58895424298296,108.04521522753383,19.656455761172413,5
