SectionName,Degrees
L5PCtemplate[0].dend[23],6
L5PCtemplate[0].dend[21],5
L5PCtemplate[0].dend[19],4
L5PCtemplate[0].dend[7],1
L5PCtemplate[0].dend[11],2
L5PCtemplate[0].dend[15],3
L5PCtemplate[0].dend[12],3
L5PCtemplate[0].dend[14],4
L5PCtemplate[0].dend[13],4
L5PCtemplate[0].dend[8],2
L5PCtemplate[0].dend[10],3
L5PCtemplate[0].dend[9],3
L5PCtemplate[0].dend[0],1
L5PCtemplate[0].dend[6],2
L5PCtemplate[0].dend[1],2
L5PCtemplate[0].dend[3],3
L5PCtemplate[0].dend[5],4
L5PCtemplate[0].dend[4],4
L5PCtemplate[0].dend[2],3
