BMTK ID,X,Type,Sec ID,Distance,Coord X,Coord Y,Coord Z
0,0.021739130434782608,soma,0,0.5036817851860889,-11.059455736894336,-0.6907841713414965,0.0
0,0.06521739130434782,soma,0,1.5110453555582666,-10.054052465515237,-0.6279699760708632,0.0
0,0.10869565217391304,soma,0,2.5184089259304443,-9.048651589118279,-0.5651174548681035,0.0
0,0.15217391304347827,soma,0,3.5257724963026225,-8.043246323905217,-0.5023351676034964,0.0
0,0.1956521739130435,soma,0,4.5331360666748,-7.037840838485746,-0.43955640685258396,0.0
0,0.2391304347826087,soma,0,5.5404996370469775,-6.032435561681849,-0.37677430521035277,0.0
0,0.28260869565217395,soma,0,6.547863207419154,-5.02703038544268,-0.31399059311913075,0.0
0,0.32608695652173914,soma,0,7.555226777791333,-4.0216252349986465,-0.2512064679473037,0.0
0,0.3695652173913043,soma,0,8.56259034816351,-3.016220038127991,-0.1884230862465728,0.0
0,0.4130434782608695,soma,0,9.569953918535688,-2.0108164261275796,-0.1256143426432202,0.0
0,0.4565217391304347,soma,0,10.577317488907866,-1.0054157885158692,-0.0627580005892417,0.0
0,0.4999999999999999,soma,0,11.584681059280044,-1.030309639959981e-05,2.0760161670643762e-05,0.0
0,0.5434782608695651,soma,0,12.592044629652221,1.0053949505295783,0.06280323298859421,0.0
0,0.5869565217391303,soma,0,13.599408200024401,2.0108001055009215,0.1255872856579271,0.0
0,0.6304347826086955,soma,0,14.606771770396577,3.0162052520790894,0.18837147273640192,0.0
0,0.6739130434782606,soma,0,15.614135340768755,4.0216104592658795,0.25115468923564327,0.0
0,0.7173913043478258,soma,0,16.621498911140932,5.027013524140042,0.3139721884478376,0.0
0,0.760869565217391,soma,0,17.62886248151311,6.032414732056798,0.3768194036942517,0.0
0,0.8043478260869562,soma,0,18.636226051885288,7.037820194310028,0.43959853544286015,0.0
0,0.8478260869565214,soma,0,19.643589622257466,8.043225447923454,0.5023810084708107,0.0
0,0.8913043478260866,soma,0,20.650953192629643,9.048630603530746,0.5651650509587678,0.0
0,0.9347826086956518,soma,0,21.65831676300182,10.05403575397478,0.6279491761305949,0.0
0,0.978260869565217,soma,0,22.665680333374,11.059440971477315,0.6907322274345907,0.0
1,0.02,dend,0,12.06869862388221,10.950083955157872,1.9770004573595532,0.0
1,0.06,dend,0,13.036733753086539,11.895672920858665,2.1842527657147297,0.0
1,0.1,dend,0,14.00476888229087,12.80351986249955,2.4309691159025526,0.22274557054615812
1,0.14,dend,0,14.9728040114952,13.709629298972445,2.679502246677584,0.45574553495726716
1,0.18000000000000002,dend,0,15.94083914069953,14.61573873544534,2.928035377452615,0.6887454993683761
1,0.22000000000000003,dend,0,16.908874269903862,15.507267582566453,3.172514532934727,0.8461714182889092
1,0.26,dend,0,17.87690939910819,16.25713683772573,3.377606769825101,0.2693479739770346
1,0.3,dend,0,18.84494452831252,17.00700609288501,3.5826990067154747,-0.30747547033484013
1,0.33999999999999997,dend,0,19.812979657516852,17.75687534804429,3.7877912436058487,-0.8842989146467148
1,0.37999999999999995,dend,0,20.78101478672118,18.605963088722966,3.520933576612657,-1.25474249291445
1,0.41999999999999993,dend,0,21.74904991592551,19.457827395897322,3.240868690381,-1.6194106613032533
1,0.4599999999999999,dend,0,22.717085045129842,20.309691703071678,2.9608038041493425,-1.9840788296920564
1,0.4999999999999999,dend,0,23.685120174334173,20.9964386149498,2.6842653170437725,-1.7418129589929148
1,0.5399999999999999,dend,0,24.653155303538504,21.54533723719714,2.4106708449356202,-0.9928480875199726
1,0.58,dend,0,25.62119043274283,22.094235859444478,2.1370763728274675,-0.24388321604703056
1,0.62,dend,0,26.58922556194716,22.643134481691817,1.8634819007193149,0.5050816554259114
1,0.66,dend,0,27.55726069115149,23.192033103939153,1.5898874286111624,1.2540465268988537
1,0.7000000000000001,dend,0,28.525295820355822,23.740931726186492,1.3162929565030097,2.003011398371796
1,0.7400000000000001,dend,0,29.493330949560153,24.188594524242674,0.9850480065863231,2.790674717646964
1,0.7800000000000001,dend,0,30.461366078764485,24.59223365110755,0.6287330214391006,3.5951665435824074
1,0.8200000000000002,dend,0,31.429401207968812,24.995872777972423,0.272418036291878,4.39965836951785
1,0.8600000000000002,dend,0,32.39743633717315,25.455374516388805,-0.027183073472493026,5.135959333004815
1,0.9000000000000002,dend,0,33.36547146637747,26.3930640242322,0.1586904627144954,5.2885418575592436
1,0.9400000000000003,dend,0,34.3335065955818,27.330753532075594,0.34456399890148387,5.441124382113672
1,0.9800000000000003,dend,0,35.301541724786134,28.26844303991899,0.5304375350884722,5.5937069066681
2,0.03333333333333333,dend,1,36.29163249722305,29.178256790280802,0.660606469461837,5.915498070494891
2,0.1,dend,1,37.30377891289255,30.060194783161048,0.735070802021581,6.406497873594048
2,0.16666666666666669,dend,1,38.315925328562045,30.942132776041294,0.8095351345813251,6.897497676693205
2,0.23333333333333334,dend,1,39.32807174423155,31.824070768921537,0.8839994671410691,7.3884974797923615
2,0.3,dend,1,40.34021815990104,32.688415792802054,0.9963473736579265,7.895326121808463
2,0.36666666666666664,dend,1,41.35236457557055,33.48353695927063,1.2577575062210016,8.46443721815049
2,0.4333333333333333,dend,1,42.364510991240046,34.2786581257392,1.5191676387840767,9.033548314492519
2,0.49999999999999994,dend,1,43.376657406909544,35.073779292207774,1.780577771347152,9.602659410834546
2,0.5666666666666667,dend,1,44.38880382257904,35.74640377294959,1.8668417017898022,9.425890795324026
2,0.6333333333333333,dend,1,45.40095023824854,36.31050840631756,1.797943563891981,8.588347139172532
