Node ID,Distance,Conductance,Type,Name,Source Population,Release Probability
0,52.44181018758228,0.11062464083151914,dend,L5PCtemplate[0].dend[8](0.833333),exc_stim,0.6392771136624712
0,66.11497450112924,0.6870316220204019,dend,L5PCtemplate[0].dend[36](0.5),exc_stim,0.6724914783821524
0,130.89443909619416,0.11052033921029186,dend,L5PCtemplate[0].dend[35](0.564516),exc_stim,0.4784862575608661
0,107.7566504674775,0.3188911927478249,dend,L5PCtemplate[0].dend[13](0.224138),exc_stim,0.8774268194116261
1,77.24774560286046,0.23981654539081912,dend,L5PCtemplate[0].dend[13](0.0172414),exc_stim,0.42671563509431054
1,120.57705827075272,0.08473476587137023,dend,L5PCtemplate[0].dend[35](0.5),exc_stim,0.42804810758125833
1,66.11497450112924,0.01631641120364235,dend,L5PCtemplate[0].dend[36](0.5),exc_stim,0.5832316997445275
1,103.80014421518466,0.07461303940040963,dend,L5PCtemplate[0].dend[66](0.166667),exc_stim,0.1505180768471328
1,71.60112762931482,0.18566190913694727,dend,L5PCtemplate[0].dend[10](0.233333),exc_stim,0.3071771535264268
1,66.11497450112924,0.02814734679197098,dend,L5PCtemplate[0].dend[36](0.5),exc_stim,0.3302347033853336
1,114.01851922891345,0.10907716158302147,dend,L5PCtemplate[0].dend[67](0.309524),exc_stim,0.8524427291627419
1,112.84146794491367,0.029532698266291117,dend,L5PCtemplate[0].dend[13](0.258621),exc_stim,0.5448562050313432
2,103.81154317078239,0.15525632648789708,dend,L5PCtemplate[0].dend[67](0.214286),exc_stim,0.41023580060445985
2,103.80014421518466,0.20711080922878108,dend,L5PCtemplate[0].dend[66](0.166667),exc_stim,0.2767814129670934
2,55.17305783707343,0.09394829077599978,dend,L5PCtemplate[0].dend[12](0.3),exc_stim,0.39785948821786293
2,52.44181018758228,0.9655752265965345,dend,L5PCtemplate[0].dend[8](0.833333),exc_stim,0.39762454530953273
2,125.73574868347342,0.044790277465873954,dend,L5PCtemplate[0].dend[35](0.532258),exc_stim,0.5270306105576545
2,87.41738055773281,0.03565623491198211,dend,L5PCtemplate[0].dend[13](0.0862069),exc_stim,0.7109598806627015
2,66.11497450112924,0.0155130086211081,dend,L5PCtemplate[0].dend[36](0.5),exc_stim,0.5759499909010463
3,55.17305783707343,0.15989320397251738,dend,L5PCtemplate[0].dend[12](0.3),exc_stim,0.23779906924234534
3,117.92628542234984,0.16892814001470904,dend,L5PCtemplate[0].dend[13](0.293103),exc_stim,0.6924626475989903
3,125.73574868347342,0.10205489014743006,dend,L5PCtemplate[0].dend[35](0.532258),exc_stim,0.5045573778745871
4,103.81154317078239,0.06285557939136602,dend,L5PCtemplate[0].dend[67](0.214286),exc_stim,0.20472516211916603
4,125.73574868347342,0.4475798161210237,dend,L5PCtemplate[0].dend[35](0.532258),exc_stim,0.4286594703888468
4,63.15924307395112,0.019140422076067795,dend,L5PCtemplate[0].dend[9](0.5),exc_stim,0.6055960237050615
4,66.11497450112924,0.08610086425241807,dend,L5PCtemplate[0].dend[36](0.5),exc_stim,0.6012984732668549
4,71.91501128884681,0.25674256641870996,dend,L5PCtemplate[0].dend[12](0.9),exc_stim,0.3810771599326891
5,56.8431135456574,0.3564081241408048,dend,L5PCtemplate[0].dend[36](0.318182),exc_stim,0.7568198949491092
5,125.73574868347342,0.10115813801355725,dend,L5PCtemplate[0].dend[35](0.532258),exc_stim,0.34537214489101953
5,57.53072193168893,0.37433926823576746,dend,L5PCtemplate[0].dend[10](0.0333333),exc_stim,0.6028779549087842
5,66.11497450112924,0.106973298689442,dend,L5PCtemplate[0].dend[36](0.5),exc_stim,0.42458166767403627
5,77.14862926526405,0.036132931733148174,dend,L5PCtemplate[0].dend[14](0.0185185),exc_stim,0.28660630571867385
