Node ID,Distance,Conductance,Type,EPSP
0,379.58476907278674,0.4,apic,0.23076826414214224
1,320.3812671851626,0.4,apic,0.25774559320446144
2,468.6693537968005,0.4,apic,0.18710154858953842
3,230.80523374005736,0.4,apic,0.3044831455933519
4,93.07159617395864,0.4,dend,0.3536513091661959
5,303.85431458375433,0.4,apic,0.26835624682956905
6,159.52248736022364,0.4,dend,0.3574159861800297
7,231.9158829836171,0.4,apic,0.2883439459049981
8,170.12215362637647,0.4,dend,0.34665520019707685
9,1256.1271403859382,0.4,apic,0.01435215646289123
10,135.46387295877747,0.4,dend,0.37373856756765633
11,166.2683162119933,0.4,dend,0.32967724544442945
12,1160.5177435476412,0.4,apic,0.019191582172382482
13,360.4140218545981,0.4,apic,0.21078463487464205
14,1151.7151685370425,0.4,apic,0.01614166829178032
15,114.45093534896017,0.4,dend,0.3471828673801838
16,91.56317190102511,0.4,dend,0.3632123874490105
17,1034.9073069284893,0.4,apic,0.05918134136207698
18,73.78483825144616,0.4,dend,0.38450296480603186
19,819.078885107589,0.4,apic,0.09150354934010352
20,66.91099239677285,0.4,dend,0.3896869957486757
21,53.117938220707586,0.4,dend,0.39051649235096875
22,386.6853090271192,0.4,apic,0.20489499028103353
23,309.0085548012233,0.4,apic,0.28310260068039383
24,205.95709008267312,0.4,apic,0.29261363958056563
25,125.3566566162255,0.4,dend,0.3277370528567758
26,299.37612342372216,0.4,apic,0.2668411675532809
27,922.8358253746583,0.4,apic,0.04759857769192877
28,1129.9786252269105,0.4,apic,0.017642222643019068
29,1001.1614376649596,0.4,apic,0.06208355038710067
30,130.03362670112426,0.4,dend,0.34865301305690366
31,1272.0712877706492,0.4,apic,0.010786660919976043
32,135.8111998862337,0.4,dend,0.36872554916278943
33,64.34817036737246,0.4,dend,0.3822353769685236
34,305.1546690250625,0.4,apic,0.24276696232114148
35,901.6418642955131,0.4,apic,0.05214981458472323
36,256.44604565619005,0.4,apic,0.28267335815219496
37,62.204840638074714,0.4,dend,0.3989643025066556
38,425.4909328219618,0.4,apic,0.19353078020648695
39,266.3004727952778,0.4,apic,0.2656030903099378
40,157.7359929154133,0.4,dend,0.36475782104149346
41,63.25794961446548,0.4,dend,0.3824228925977735
42,236.03288425906243,0.4,dend,0.3185086369454808
43,1129.7695508672211,0.4,apic,0.018130882897537504
44,127.9039575867526,0.4,apic,0.3643509389238204
45,1224.7736160644306,0.4,apic,0.014659979042292548
46,216.5604565168211,0.4,dend,0.336842417948489
47,104.71130249161499,0.4,dend,0.37132149774768664
48,177.30177078932604,0.4,dend,0.3365344450266008
49,272.6730029880563,0.4,apic,0.24852699331010797
50,866.8068790881941,0.4,apic,0.08238208405983016
51,1243.1200317020266,0.4,apic,0.014279144857326287
52,1268.853329714829,0.4,apic,0.011747193169568959
53,233.66085693160153,0.4,apic,0.27817390369780526
54,118.60562735198347,0.4,dend,0.34025127471879557
55,69.39242684257508,0.4,apic,0.3852018609172916
56,83.3175177762149,0.4,dend,0.3792137831500355
57,100.86394087242225,0.4,dend,0.3754509574848015
58,234.38745604921883,0.4,apic,0.2873633379176397
59,177.30177078932604,0.4,dend,0.3365344450266008
60,1266.1702708969417,0.4,apic,0.013683255986450149
61,219.37644786150878,0.4,dend,0.2929102449451477
62,402.5403908502934,0.4,apic,0.19461961506526393
63,121.35133217772845,0.4,dend,0.3169897458410418
64,50.49431150301488,0.4,dend,0.39045304984264817
65,166.2683162119933,0.4,dend,0.32967724544442945
66,425.4909328219618,0.4,apic,0.19353078020648695
67,80.63428340982409,0.4,dend,0.38038040264758877
68,112.99782162310034,0.4,dend,0.35530947420861025
