Node ID,Distance,Conductance,Type,EPSP
0,379.58476907278674,0.2,apic,0.11916533854018496
1,320.3812671851626,0.2,apic,0.13224204393122818
2,468.6693537968005,0.2,apic,0.09416387538234972
3,230.80523374005736,0.2,apic,0.1536144743619019
4,93.07159617395864,0.2,dend,0.18206423946413963
5,303.85431458375433,0.2,apic,0.13726188846271725
6,159.52248736022364,0.2,dend,0.18506465381774717
7,231.9158829836171,0.2,apic,0.14445260539329752
8,170.12215362637647,0.2,dend,0.18061434933720477
9,1256.1271403859382,0.2,apic,0.005420510337117435
10,135.46387295877747,0.2,dend,0.18992096262969937
11,166.2683162119933,0.2,dend,0.17615407482442436
12,1160.5177435476412,0.2,apic,0.007884007264621573
13,360.4140218545981,0.2,apic,0.10568296460937177
14,1151.7151685370425,0.2,apic,0.006316133299733906
15,114.45093534896017,0.2,dend,0.17985961010893448
16,91.56317190102511,0.2,dend,0.18405828646424993
17,1034.9073069284893,0.2,apic,0.02838340975873166
18,73.78483825144616,0.2,dend,0.19297083633738055
19,819.078885107589,0.2,apic,0.04446393228620593
20,66.91099239677285,0.2,dend,0.1973170100657029
21,53.117938220707586,0.2,dend,0.1961947762749645
22,386.6853090271192,0.2,apic,0.10357721774290951
23,309.0085548012233,0.2,apic,0.14672779477376707
24,205.95709008267312,0.2,apic,0.1459643571716498
25,125.3566566162255,0.2,dend,0.16872915926072096
26,299.37612342372216,0.2,apic,0.1352820068332221
27,922.8358253746583,0.2,apic,0.02229916918409458
28,1129.9786252269105,0.2,apic,0.007323057667349531
29,1001.1614376649596,0.2,apic,0.02987301323678082
30,130.03362670112426,0.2,dend,0.17872809627289143
31,1272.0712877706492,0.2,apic,0.0031962634717217497
32,135.8111998862337,0.2,dend,0.18642408642072894
33,64.34817036737246,0.2,dend,0.1939240430138227
34,305.1546690250625,0.2,apic,0.12117278372306828
35,901.6418642955131,0.2,apic,0.02462977967437041
36,256.44604565619005,0.2,apic,0.14373518635412097
37,62.204840638074714,0.2,dend,0.2006584074168103
38,425.4909328219618,0.2,apic,0.09646893044890703
39,266.3004727952778,0.2,apic,0.13348534655428068
40,157.7359929154133,0.2,dend,0.18499354085287223
41,63.25794961446548,0.2,dend,0.1948211685716501
42,236.03288425906243,0.2,dend,0.17048965068386224
43,1129.7695508672211,0.2,apic,0.0072864045036737934
44,127.9039575867526,0.2,apic,0.1851967495590543
45,1224.7736160644306,0.2,apic,0.005687326923066394
46,216.5604565168211,0.2,dend,0.17636548876309632
47,104.71130249161499,0.2,dend,0.18958477630411608
48,177.30177078932604,0.2,dend,0.17530068178514568
49,272.6730029880563,0.2,apic,0.12346683531211511
50,866.8068790881941,0.2,apic,0.039872777527790504
51,1243.1200317020266,0.2,apic,0.0052563369260525405
52,1268.853329714829,0.2,apic,0.004066975054442423
53,233.66085693160153,0.2,apic,0.1389942334617018
54,118.60562735198347,0.2,dend,0.18171989307029435
55,69.39242684257508,0.2,apic,0.192476970504444
56,83.3175177762149,0.2,dend,0.19380135014628763
57,100.86394087242225,0.2,dend,0.19127187203632445
58,234.38745604921883,0.2,apic,0.1466929720697152
59,177.30177078932604,0.2,dend,0.17530068178514568
60,1266.1702708969417,0.2,apic,0.0049906015867833275
61,219.37644786150878,0.2,dend,0.16096126123296983
62,402.5403908502934,0.2,apic,0.0963598462267754
63,121.35133217772845,0.2,dend,0.1712865219340216
64,50.49431150301488,0.2,dend,0.19536541486175452
65,166.2683162119933,0.2,dend,0.17615407482442436
66,425.4909328219618,0.2,apic,0.09646893044890703
67,80.63428340982409,0.2,dend,0.19131526818236466
68,112.99782162310034,0.2,dend,0.1813043835925896
69,210.4617471204462,0.2,apic,0.1475325873149842
70,126.69388733406447,0.2,dend,0.1906600407095027
71,119.19831780561462,0.2,dend,0.18835797101448293
72,978.2791161820779,0.2,apic,0.030916996424664944
73,125.34785430040972,0.2,dend,0.19268935483363236
74,591.2058660395061,0.2,apic,0.06762254564229409
75,166.66555180618144,0.2,dend,0.15601287061690527
76,187.49904621726995,0.2,apic,0.1511968052249557
77,63.15924307395112,0.2,dend,0.1957846983639513
78,354.2599060505388,0.2,apic,0.11015047676325196
79,359.76838909913823,0.2,apic,0.10559787922842645
80,145.16818505228014,0.2,dend,0.18037834223510174
81,172.58036452692494,0.2,dend,0.17877305220142148
82,223.51037200295212,0.2,dend,0.17982125279142736
83,159.55687396065298,0.2,dend,0.17063397426166205
84,1160.4550631470565,0.2,apic,0.017597724300387085
85,146.36459889218844,0.2,dend,0.18560458205534758
86,1105.1821706953726,0.2,apic,0.02671739305449705
87,999.7698750450477,0.2,apic,0.02975656180026931
88,324.23749899931823,0.2,apic,0.11239637807481984
89,143.422687241373,0.2,dend,0.18356814125901622
90,125.34785430040972,0.2,dend,0.19268935483363236
91,283.14649180641305,0.2,apic,0.14102112114709087
92,1042.5024963743288,0.2,apic,0.026803441303826503
93,795.6720588997864,0.2,apic,0.03832645949141522
94,73.15339736778739,0.2,dend,0.18962009033289462
95,54.42691513006233,0.2,dend,0.19298594031690186
96,1151.4676333019793,0.2,apic,0.006653177372385244
97,962.3558687813563,0.2,apic,0.018664439202837002
98,827.6286096659444,0.2,apic,0.04277517212950954
99,381.95239250561684,0.2,apic,0.10111165597187721
