Node ID,Distance,Conductance,Type,Name,EPSC
16,"[120.38868854121658, 84.12946469704029, 153.96319586631438]","[0.12068705203001903, 0.35188671468941446, 0.29010483761465045]",dend,"['L5PCtemplate[16].dend[33]', 'L5PCtemplate[16].dend[14]', 'L5PCtemplate[16].dend[40]']",-0.019648498923174884
17,"[207.97444699613737, 244.07708083192296, 157.2096136989632]","[0.07259582286849739, 0.170816402078303, 1.2985157292876872]",dend,"['L5PCtemplate[17].dend[69]', 'L5PCtemplate[17].dend[70]', 'L5PCtemplate[17].dend[54]']",0.0
18,"[70.38469050977113, 125.3566566162255, 204.37011221248093, 66.91099239677285, 113.79450671422445, 143.422687241373, 204.37011221248093]","[0.559431433454972, 0.09422228133671053, 0.2330763500065243, 0.32489861593248814, 0.13231880270787794, 0.10762091350646023, 0.14389073015728585]",dend,"['L5PCtemplate[18].dend[48]', 'L5PCtemplate[18].dend[69]', 'L5PCtemplate[18].dend[70]', 'L5PCtemplate[18].dend[10]', 'L5PCtemplate[18].dend[31]', 'L5PCtemplate[18].dend[35]', 'L5PCtemplate[18].dend[70]']",-0.05524304706341354
19,"[92.38622512914618, 52.04017135889184]","[0.28590015639557365, 0.23595956950442484]",dend,"['L5PCtemplate[19].dend[30]', 'L5PCtemplate[19].dend[35]']",0.0
20,"[65.55045704893816, 197.0880287745798, 94.1963273456084, 109.30215553762554, 87.65144279883467, 204.37011221248093]","[0.09138207440735047, 0.0628281425111032, 0.28544328624403237, 0.1934821540762004, 0.11513587509710284, 0.11606376214452219]",dend,"['L5PCtemplate[20].dend[72]', 'L5PCtemplate[20].dend[28]', 'L5PCtemplate[20].dend[51]', 'L5PCtemplate[20].dend[56]', 'L5PCtemplate[20].dend[48]', 'L5PCtemplate[20].dend[70]']",-0.011951750923344662
21,"[123.06884341192504, 135.8111998862337]","[0.44119284179683466, 0.39126373842479395]",dend,"['L5PCtemplate[21].dend[74]', 'L5PCtemplate[21].dend[59]']",-0.018531822541945075
22,"[190.96184168138825, 96.89358253592437, 177.30177078932604, 134.43247134517557, 49.484739032008434]","[0.43677662855860605, 0.10231829130002301, 0.14255329348979356, 0.3358056960719545, 0.03952008911078234]",dend,"['L5PCtemplate[22].dend[40]', 'L5PCtemplate[22].dend[60]', 'L5PCtemplate[22].dend[67]', 'L5PCtemplate[22].dend[67]', 'L5PCtemplate[22].dend[18]']",-0.011417678616965077
23,"[144.809659283318, 91.56317190102511]","[0.0671196448215982, 0.2968209739906233]",dend,"['L5PCtemplate[23].dend[70]', 'L5PCtemplate[23].dend[67]']",-0.002589619501236484
24,"[92.38622512914618, 80.32105935919517, 141.74163293971782, 133.5473200135147, 90.68340297221485, 140.51513324199686, 131.4997229334096, 52.04017135889184]","[0.6636307841277569, 0.1880443108970009, 0.048067574335056075, 0.06924360109334887, 0.09788912936571599, 0.14148718068537136, 0.21560955118797576, 0.04198301753007964]",dend,"['L5PCtemplate[24].dend[30]', 'L5PCtemplate[24].dend[75]', 'L5PCtemplate[24].dend[4]', 'L5PCtemplate[24].dend[32]', 'L5PCtemplate[24].dend[66]', 'L5PCtemplate[24].dend[6]', 'L5PCtemplate[24].dend[37]', 'L5PCtemplate[24].dend[35]']",-0.00597607560735014
25,"[91.22777645270646, 92.38622512914618, 83.3175177762149, 65.1512755144224]","[0.1316474846074455, 0.15553809751670525, 0.0804963182827157, 0.09006834708007293]",dend,"['L5PCtemplate[25].dend[56]', 'L5PCtemplate[25].dend[30]', 'L5PCtemplate[25].dend[21]', 'L5PCtemplate[25].dend[68]']",-0.014401784224560288
