channel x_pos y_pos z_pos
304 -8 1130 -100
305 24 1130 -100
306 -24 1150 -100
307 8 1150 -100
308 -8 1170 -100
309 24 1170 -100
310 -24 1190 -100
311 8 1190 -100
312 -8 1210 -100
313 24 1210 -100
314 -24 1230 -100
315 8 1230 -100
316 -8 1250 -100
317 24 1250 -100
318 -24 1270 -100
319 8 1270 -100
320 -8 1290 -100
321 24 1290 -100
322 -24 1310 -100
323 8 1310 -100
324 -8 1330 -100
325 24 1330 -100
326 -24 1350 -100
327 8 1350 -100
328 -8 1370 -100
329 24 1370 -100
330 -24 1390 -100
331 8 1390 -100
332 -8 1410 -100
333 24 1410 -100
334 -24 1430 -100
335 8 1430 -100
336 -8 1450 -100
337 24 1450 -100
338 -24 1470 -100
339 8 1470 -100
340 -8 1490 -100
341 24 1490 -100
342 -24 1510 -100
343 8 1510 -100
344 -8 1530 -100
345 24 1530 -100
346 -24 1550 -100
347 8 1550 -100
348 -8 1570 -100
349 24 1570 -100
350 -24 1590 -100
351 8 1590 -100
352 -8 1610 -100
353 24 1610 -100
354 -24 1630 -100
355 8 1630 -100
356 -8 1650 -100
357 24 1650 -100
358 -24 1670 -100
359 8 1670 -100
360 -8 1690 -100
361 24 1690 -100
362 -24 1710 -100
363 8 1710 -100
364 -8 1730 -100
365 24 1730 -100
366 -24 1750 -100
367 8 1750 -100
368 -8 1770 -100
369 24 1770 -100
370 -24 1790 -100
371 8 1790 -100
372 -8 1810 -100
373 24 1810 -100
374 -24 1830 -100
375 8 1830 -100
376 -8 1850 -100
377 24 1850 -100
378 -24 1870 -100
379 8 1870 -100
380 -8 1890 -100
381 24 1890 -100
382 -24 1910 -100
383 8 1910 -100
384 -8 -1421.3 1279.9
385 24 -1421.3 1279.9
386 -24 -1407.1 1265.7
387 8 -1407.1 1265.7
388 -8 -1393 1251.6
389 24 -1393 1251.6
390 -24 -1378.9 1237.4
391 8 -1378.9 1237.4
392 -8 -1364.7 1223.3
393 24 -1364.7 1223.3
394 -24 -1350.6 1209.2
395 8 -1350.6 1209.2
396 -8 -1336.4 1195
397 24 -1336.4 1195
398 -24 -1322.3 1180.9
399 8 -1322.3 1180.9
400 -8 -1308.1 1166.7
401 24 -1308.1 1166.7
402 -24 -1294 1152.6
403 8 -1294 1152.6
404 -8 -1279.9 1138.4
405 24 -1279.9 1138.4
