gid,FR,num_exc,num_inh,avg_exc,avg_inh,max_exc,max_inh,std_exc,std_inh,skew_exc,skew_inh,comb_stren,fr_mean,fr_std,fr_max
0,0.0,1759,190,4.401053197575272,3.7077534457970263,12.83817003361358,7.868459581780252,1.3890814265655365,1.0579445489372221,1.0690014807293975,0.8867829654570308,1.5414060883721543,0.06823005689309901,0.26024505855683105,4.079287190036284
1,1.4,1759,190,4.96371279044734,2.519134133744256,11.388321147019733,7.084821644474948,1.3571862186113721,1.0651094537237686,0.7111043909033496,1.2683669423697217,1.9674600305073484,0.07587396334561615,0.2406624600521348,4.08391089853238
2,0.2,1759,190,4.657467503891387,3.3384749527702704,13.23250329549744,6.469466186717675,1.4487636416030067,0.9132130090487608,0.997903690549856,0.7079932917335785,2.054694373015792,0.07911230725088887,0.2548174976065817,4.089747333826057
3,0.6,1759,190,4.776617964041161,2.0654859465951168,11.000486707635897,7.926798616194048,1.3676147210360112,1.0412911851537967,0.8887695014469993,1.7220539590260104,1.551759590123095,0.0648447059193155,0.2446471217519029,4.070505839410628
4,0.0,1759,190,4.067693915954253,3.2794166396782405,13.614220566283626,7.231088943726145,1.4196905848743575,1.0455573425334803,1.2250629571228402,1.0570729558884715,1.4177828030341248,0.06598238632240863,0.2108122061673068,4.077413172214058
5,6.4,1759,190,4.727243302749019,2.414099321818473,12.137142388699832,6.231939383780228,1.371843173301597,0.8523811083646982,0.9947015393407886,1.0092412975252032,3.1468370840195568,0.12790529014970964,0.39462225276153984,4.1242719153884
6,0.4,1759,190,4.043769158826898,3.1375624366073502,14.525514633238053,6.885737322322192,1.3997228369054031,0.9751862503365021,1.141345027111927,0.8273242451897042,1.4980154637845002,0.0713049132455602,0.22966428189763846,3.9825918702355114
7,0.2,1759,190,4.128938249960188,3.0264275899944635,12.306593173288231,6.260437174153968,1.3763091656420328,0.9335344818990536,0.9166847905037591,0.930554578608676,1.845387482247068,0.10003069744125408,0.3420753849437788,4.1006853205384886
8,0.2,1759,190,4.571610876259259,3.360764279876689,11.162382860614716,6.348803401111411,1.4295501408984317,0.9629731911357484,0.8650646171278716,0.6484710889107544,1.5165509794963417,0.0636108451096656,0.2312261398213564,4.073371247646719
9,1.6,1759,190,4.471875429854041,2.997777267542282,12.667607842150302,7.007917804789803,1.492929720512126,1.0836903881499975,1.2633302631406258,0.8734981472762031,2.3170970299230773,0.10176274982343356,0.2672083897403469,4.114543637702732
