gid,FR,num_exc,num_inh,avg_exc,avg_inh,max_exc,max_inh,std_exc,std_inh,skew_exc,skew_inh,comb_stren,fr_mean,fr_std,fr_max
0,0.0,2137,228,3.0124189009568645,5.0,17.0,5.0,2.1738552723863642,0.0,2.054520974579472,0.0,1.4422252469445314,0.09287476443431274,0.2891443971496064,4.414586114382847
1,0.0,2137,228,3.0336172798170162,5.0,17.0,5.0,2.295769237034162,0.0,2.367294403559019,0.0,1.675322863357411,0.105696658159393,0.44615118721531694,10.0
