Node ID,Distance,Conductance,Type,Name,EPSP
0,61.79997353369858,0.8,dend,L5PCtemplate[0].dend[2],0.7578156793788793
1,83.46440955223416,0.8,dend,L5PCtemplate[1].dend[2],0.7268915515173546
2,105.12884557076974,0.8,dend,L5PCtemplate[2].dend[2],0.7008299321750684
3,126.79328158930532,0.8,dend,L5PCtemplate[3].dend[2],0.6781424125501303
4,148.4577176078409,0.8,dend,L5PCtemplate[4].dend[2],0.6578008356478762
5,170.12215362637647,0.8,dend,L5PCtemplate[5].dend[2],0.63908888389075
6,191.78658964491206,0.8,dend,L5PCtemplate[6].dend[2],0.5894186169932567
7,54.695572477958606,0.8,dend,L5PCtemplate[7].dend[3],0.772475702949933
8,67.68097204351214,0.8,dend,L5PCtemplate[8].dend[4],0.7556043718382739
9,86.19613726756356,0.8,dend,L5PCtemplate[9].dend[4],0.7312198373107037
10,104.71130249161499,0.8,dend,L5PCtemplate[10].dend[4],0.7095891449406793
11,123.2264677156664,0.8,dend,L5PCtemplate[11].dend[4],0.6900470962898879
12,141.74163293971782,0.8,dend,L5PCtemplate[12].dend[4],0.6721017352865744
13,69.15359332682125,0.8,dend,L5PCtemplate[13].dend[5],0.7509551479124781
14,90.61400111749089,0.8,dend,L5PCtemplate[14].dend[5],0.7196996831738716
15,112.07440890816054,0.8,dend,L5PCtemplate[15].dend[5],0.693450294587322
16,133.53481669883018,0.8,dend,L5PCtemplate[16].dend[5],0.6707150366890176
17,154.99522448949983,0.8,dend,L5PCtemplate[17].dend[5],0.6504374958187782
18,176.45563228016948,0.8,dend,L5PCtemplate[18].dend[5],0.588659004266475
19,197.91604007083907,0.8,dend,L5PCtemplate[19].dend[5],0.53876269458992
20,219.37644786150878,0.8,dend,L5PCtemplate[20].dend[5],0.4983044508138903
21,240.83685565217837,0.8,dend,L5PCtemplate[21].dend[5],0.4637720531614349
22,64.34817036737246,0.8,dend,L5PCtemplate[22].dend[6],0.7393562132972704
23,83.38991108602856,0.8,dend,L5PCtemplate[23].dend[6],0.666211624716027
24,102.43165180468468,0.8,dend,L5PCtemplate[24].dend[6],0.6496799252935404
25,121.47339252334079,0.8,dend,L5PCtemplate[25].dend[6],0.6327877861659061
26,140.51513324199686,0.8,dend,L5PCtemplate[26].dend[6],0.5798046057882544
27,159.55687396065298,0.8,dend,L5PCtemplate[27].dend[6],0.5366014146275404
28,63.15924307395112,0.8,dend,L5PCtemplate[28].dend[9],0.7339212830335526
29,66.91099239677285,0.8,dend,L5PCtemplate[29].dend[10],0.7568190300672342
30,90.36166855948268,0.8,dend,L5PCtemplate[30].dend[10],0.6634188904499041
31,113.81234472219249,0.8,dend,L5PCtemplate[31].dend[10],0.5938061557720431
32,60.75370898766455,0.8,dend,L5PCtemplate[32].dend[12],0.7758201271617367
33,85.23817306740301,0.8,dend,L5PCtemplate[33].dend[13],0.742694453476588
34,106.30384547392431,0.8,dend,L5PCtemplate[34].dend[13],0.6491804629263953
35,127.3695178804456,0.8,dend,L5PCtemplate[35].dend[13],0.5863610354617066
36,148.43519028696687,0.8,dend,L5PCtemplate[36].dend[13],0.5395227738172679
37,169.50086269348816,0.8,dend,L5PCtemplate[37].dend[13],0.5015955781105106
38,190.56653510000945,0.8,dend,L5PCtemplate[38].dend[13],0.46894311227426044
39,211.63220750653073,0.8,dend,L5PCtemplate[39].dend[13],0.43982686972917406
40,84.12946469704029,0.8,dend,L5PCtemplate[40].dend[14],0.7504508237536527
41,102.97772036283612,0.8,dend,L5PCtemplate[41].dend[14],0.7255705051224908
42,121.82597602863196,0.8,dend,L5PCtemplate[42].dend[14],0.703736436705384
43,140.67423169442782,0.8,dend,L5PCtemplate[43].dend[14],0.6841421927778413
44,159.52248736022364,0.8,dend,L5PCtemplate[44].dend[14],0.6662079768332632
45,178.37074302601945,0.8,dend,L5PCtemplate[45].dend[14],0.6268897168092877
46,197.21899869181533,0.8,dend,L5PCtemplate[46].dend[14],0.574742583765044
47,54.194117300567484,0.8,dend,L5PCtemplate[47].dend[15],0.7781673013419663
48,68.97818967932899,0.8,dend,L5PCtemplate[48].dend[15],0.7578293211098384
49,83.7622620580905,0.8,dend,L5PCtemplate[49].dend[15],0.6948504472442494
50,84.0851219578796,0.8,dend,L5PCtemplate[50].dend[19],0.7543176580945072
51,70.31308345357617,0.8,dend,L5PCtemplate[51].dend[20],0.7723492452204255
52,83.3175177762149,0.8,dend,L5PCtemplate[52].dend[21],0.7240600615073589
53,78.6865814500416,0.8,dend,L5PCtemplate[53].dend[22],0.7505371151538043
54,93.68792714710914,0.8,dend,L5PCtemplate[54].dend[22],0.6849873830606299
55,108.68927284417667,0.8,dend,L5PCtemplate[55].dend[22],0.6335608831615787
56,118.60562735198347,0.8,dend,L5PCtemplate[56].dend[23],0.6047933868634061
57,123.36762958838811,0.8,dend,L5PCtemplate[57].dend[24],0.5921987016694032
58,73.78483825144616,0.8,dend,L5PCtemplate[58].dend[26],0.7588279100779687
59,101.42502984666582,0.8,dend,L5PCtemplate[59].dend[27],0.738739903573844
60,124.29573715549212,0.8,dend,L5PCtemplate[60].dend[27],0.7111297889740484
61,147.16644446431837,0.8,dend,L5PCtemplate[61].dend[27],0.686627572544225
62,99.72589006337334,0.8,dend,L5PCtemplate[62].dend[28],0.7389782734327213
63,119.19831780561462,0.8,dend,L5PCtemplate[63].dend[28],0.7265725433137931
64,138.67074554785592,0.8,dend,L5PCtemplate[64].dend[28],0.7152985036035204
65,158.1431732900972,0.8,dend,L5PCtemplate[65].dend[28],0.7025449468519724
66,177.61560103233853,0.8,dend,L5PCtemplate[66].dend[28],0.6811111121983657
67,197.0880287745798,0.8,dend,L5PCtemplate[67].dend[28],0.6618119638875868
68,216.5604565168211,0.8,dend,L5PCtemplate[68].dend[28],0.6159809718156595
69,236.03288425906243,0.8,dend,L5PCtemplate[69].dend[28],0.5630643690480213
70,255.5053120013037,0.8,dend,L5PCtemplate[70].dend[28],0.5203833020105293
71,68.94748552015548,0.8,dend,L5PCtemplate[71].dend[29],0.7635930009675604
72,92.38622512914618,0.8,dend,L5PCtemplate[72].dend[30],0.7348217368481613
73,113.79450671422445,0.8,dend,L5PCtemplate[73].dend[31],0.6774692613127371
74,132.4685610854313,0.8,dend,L5PCtemplate[74].dend[31],0.6127192127041354
75,151.14261545663817,0.8,dend,L5PCtemplate[75].dend[31],0.5633261661814402
76,169.81666982784498,0.8,dend,L5PCtemplate[76].dend[31],0.5231662477707744
77,188.49072419905184,0.8,dend,L5PCtemplate[77].dend[31],0.48906865050683734
78,114.15409302358559,0.8,dend,L5PCtemplate[78].dend[32],0.7138651568538421
79,133.5473200135147,0.8,dend,L5PCtemplate[79].dend[32],0.7039843826930792
80,152.9405470034439,0.8,dend,L5PCtemplate[80].dend[32],0.6860750994894573
81,172.33377399337303,0.8,dend,L5PCtemplate[81].dend[32],0.6446058942332371
82,191.72700098330216,0.8,dend,L5PCtemplate[82].dend[32],0.5858064836092041
83,88.32971429198041,0.8,dend,L5PCtemplate[83].dend[33],0.7431799159438839
84,104.35920141659851,0.8,dend,L5PCtemplate[84].dend[33],0.7229615868232315
85,120.38868854121658,0.8,dend,L5PCtemplate[85].dend[33],0.7046242774803773
86,136.41817566583467,0.8,dend,L5PCtemplate[86].dend[33],0.6877883161801606
87,152.4476627904528,0.8,dend,L5PCtemplate[87].dend[33],0.6367756688747477
88,52.04017135889184,0.8,dend,L5PCtemplate[88].dend[35],0.7678928124552584
89,74.88580032951214,0.8,dend,L5PCtemplate[89].dend[35],0.7350614808687936
90,97.73142930013243,0.8,dend,L5PCtemplate[90].dend[35],0.7074514980582904
91,120.57705827075272,0.8,dend,L5PCtemplate[91].dend[35],0.6834409485997384
92,143.422687241373,0.8,dend,L5PCtemplate[92].dend[35],0.6520188232484685
93,166.2683162119933,0.8,dend,L5PCtemplate[93].dend[35],0.5846324918787076
94,189.11394518261358,0.8,dend,L5PCtemplate[94].dend[35],0.5327466112464805
95,66.11497450112924,0.8,dend,L5PCtemplate[95].dend[36],0.7459321544044286
96,83.1133862528276,0.8,dend,L5PCtemplate[96].dend[36],0.7232517765073396
97,104.90830239692104,0.8,dend,L5PCtemplate[97].dend[37],0.6595958825654833
98,131.4997229334096,0.8,dend,L5PCtemplate[98].dend[37],0.5807883431120899
99,158.09114346989816,0.8,dend,L5PCtemplate[99].dend[37],0.5226274632611734
100,102.77385335077885,0.8,dend,L5PCtemplate[100].dend[38],0.7006973024690097
101,125.09637579498302,0.8,dend,L5PCtemplate[101].dend[38],0.6781199078890978
102,147.41889823918723,0.8,dend,L5PCtemplate[102].dend[38],0.6176751994513836
103,59.64978482837607,0.8,dend,L5PCtemplate[103].dend[39],0.7692106776425902
104,78.87582633601447,0.8,dend,L5PCtemplate[104].dend[39],0.7545012047417572
105,98.1018678436529,0.8,dend,L5PCtemplate[105].dend[39],0.7414796670037873
106,116.96455005124055,0.8,dend,L5PCtemplate[106].dend[40],0.7301509875591279
107,135.46387295877747,0.8,dend,L5PCtemplate[107].dend[40],0.7200876496489172
108,153.96319586631438,0.8,dend,L5PCtemplate[108].dend[40],0.7106766213558302
109,172.46251877385134,0.8,dend,L5PCtemplate[109].dend[40],0.701790605977834
110,190.96184168138825,0.8,dend,L5PCtemplate[110].dend[40],0.6898797148327134
111,126.69388733406447,0.8,dend,L5PCtemplate[111].dend[41],0.7226353595393533
112,60.36203466659426,0.8,dend,L5PCtemplate[112].dend[44],0.7736318630152255
113,77.5076075414143,0.8,dend,L5PCtemplate[113].dend[44],0.75069727910099
114,94.65318041623435,0.8,dend,L5PCtemplate[114].dend[44],0.678828597700587
115,111.7987532910544,0.8,dend,L5PCtemplate[115].dend[44],0.6221069798348395
116,128.94432616587443,0.8,dend,L5PCtemplate[116].dend[44],0.5765430705552177
117,62.29762052507359,0.8,dend,L5PCtemplate[117].dend[45],0.7783596833235862
118,83.3143651168523,0.8,dend,L5PCtemplate[118].dend[45],0.7602249726038934
119,104.33110970863102,0.8,dend,L5PCtemplate[119].dend[45],0.747578266780593
120,125.34785430040972,0.8,dend,L5PCtemplate[120].dend[45],0.7308209517164812
121,146.36459889218844,0.8,dend,L5PCtemplate[121].dend[45],0.6581659103734978
122,167.3813434839671,0.8,dend,L5PCtemplate[122].dend[45],0.5947787259967612
123,188.39808807574582,0.8,dend,L5PCtemplate[123].dend[45],0.5452280322326715
124,53.117938220707586,0.8,dend,L5PCtemplate[124].dend[48],0.7695663663659076
125,70.38469050977113,0.8,dend,L5PCtemplate[125].dend[48],0.694213077167376
126,87.65144279883467,0.8,dend,L5PCtemplate[126].dend[48],0.6332491712048522
127,104.99675813988493,0.8,dend,L5PCtemplate[127].dend[49],0.5847499508851826
128,100.47779507920052,0.8,dend,L5PCtemplate[128].dend[50],0.5963764848795137
129,54.42691513006233,0.8,dend,L5PCtemplate[129].dend[51],0.7305481569108849
130,74.31162123783537,0.8,dend,L5PCtemplate[130].dend[51],0.6521187793447325
131,94.1963273456084,0.8,dend,L5PCtemplate[131].dend[51],0.5933645379290056
132,50.49431150301488,0.8,dend,L5PCtemplate[132].dend[53],0.77538745141878
133,71.6922569989571,0.8,dend,L5PCtemplate[133].dend[54],0.7083237953805508
134,93.07159617395864,0.8,dend,L5PCtemplate[134].dend[54],0.6653387411515013
135,114.45093534896017,0.8,dend,L5PCtemplate[135].dend[54],0.6460286939183533
136,135.8302745239617,0.8,dend,L5PCtemplate[136].dend[54],0.6282225272255602
137,157.2096136989632,0.8,dend,L5PCtemplate[137].dend[54],0.6041464159657721
138,62.55939761839209,0.8,dend,L5PCtemplate[138].dend[55],0.7661683986265899
139,73.15339736778739,0.8,dend,L5PCtemplate[139].dend[56],0.7191455447038777
140,91.22777645270646,0.8,dend,L5PCtemplate[140].dend[56],0.648120785678401
141,109.30215553762554,0.8,dend,L5PCtemplate[141].dend[56],0.5937071049303881
142,72.55771256930629,0.8,dend,L5PCtemplate[142].dend[57],0.7567373693062933
143,89.91900974132152,0.8,dend,L5PCtemplate[143].dend[58],0.7385520802986463
144,107.7585945973951,0.8,dend,L5PCtemplate[144].dend[58],0.7142213364884071
145,125.5981794534687,0.8,dend,L5PCtemplate[145].dend[58],0.6929820913786244
146,143.43776430954227,0.8,dend,L5PCtemplate[146].dend[58],0.6740612618130797
147,161.27734916561587,0.8,dend,L5PCtemplate[147].dend[58],0.656853256723565
148,179.11693402168947,0.8,dend,L5PCtemplate[148].dend[58],0.6409209535164138
149,196.95651887776307,0.8,dend,L5PCtemplate[149].dend[58],0.6259681618992232
150,91.96161382787453,0.8,dend,L5PCtemplate[150].dend[59],0.7451049384377484
151,113.88640685705411,0.8,dend,L5PCtemplate[151].dend[59],0.7301546643015797
152,135.8111998862337,0.8,dend,L5PCtemplate[152].dend[59],0.7168987781235501
153,157.7359929154133,0.8,dend,L5PCtemplate[153].dend[59],0.7049361738101254
154,179.66078594459293,0.8,dend,L5PCtemplate[154].dend[59],0.6939544978919514
155,201.5855789737725,0.8,dend,L5PCtemplate[155].dend[59],0.6837363876925338
156,223.51037200295212,0.8,dend,L5PCtemplate[156].dend[59],0.6491462805980461
157,64.37498428372382,0.8,dend,L5PCtemplate[157].dend[60],0.7606328359132846
158,80.63428340982409,0.8,dend,L5PCtemplate[158].dend[60],0.7474380464030332
159,96.89358253592437,0.8,dend,L5PCtemplate[159].dend[60],0.7356093164790991
160,113.15288166202464,0.8,dend,L5PCtemplate[160].dend[60],0.7248966366835532
161,130.15984451770422,0.8,dend,L5PCtemplate[161].dend[61],0.7088871022943977
162,147.9144711029631,0.8,dend,L5PCtemplate[162].dend[61],0.6887261543461705
163,165.669097688222,0.8,dend,L5PCtemplate[163].dend[61],0.6704947857281098
164,183.42372427348084,0.8,dend,L5PCtemplate[164].dend[61],0.6537297932082851
165,201.17835085873975,0.8,dend,L5PCtemplate[165].dend[61],0.6381017221702052
166,131.54209788544483,0.8,dend,L5PCtemplate[166].dend[62],0.7115104777774093
167,152.06123120618486,0.8,dend,L5PCtemplate[167].dend[62],0.6884446972770633
168,172.58036452692494,0.8,dend,L5PCtemplate[168].dend[62],0.6345918201792102
169,193.09949784766502,0.8,dend,L5PCtemplate[169].dend[62],0.5752195008876271
170,213.6186311684051,0.8,dend,L5PCtemplate[170].dend[62],0.5284408750785587
171,68.01074554677353,0.8,dend,L5PCtemplate[171].dend[65],0.7379343423295097
172,90.68340297221485,0.8,dend,L5PCtemplate[172].dend[66],0.7037543545171161
173,110.35851483666956,0.8,dend,L5PCtemplate[173].dend[66],0.6807335493806193
174,130.03362670112426,0.8,dend,L5PCtemplate[174].dend[66],0.6605327258806
175,149.70873856557898,0.8,dend,L5PCtemplate[175].dend[66],0.6423579032022673
176,169.3838504300337,0.8,dend,L5PCtemplate[176].dend[66],0.6256411740525181
177,189.05896229448837,0.8,dend,L5PCtemplate[177].dend[66],0.5956933282088386
178,208.7340741589431,0.8,dend,L5PCtemplate[178].dend[66],0.5523677008572463
179,91.56317190102511,0.8,dend,L5PCtemplate[179].dend[67],0.7031093662171486
180,112.99782162310034,0.8,dend,L5PCtemplate[180].dend[67],0.678939109303343
181,134.43247134517557,0.8,dend,L5PCtemplate[181].dend[67],0.6576344570099337
182,155.86712106725082,0.8,dend,L5PCtemplate[182].dend[67],0.6383537124660705
183,177.30177078932604,0.8,dend,L5PCtemplate[183].dend[67],0.620528016048155
184,65.1512755144224,0.8,dend,L5PCtemplate[184].dend[68],0.7385333774247016
185,85.10253843614804,0.8,dend,L5PCtemplate[185].dend[68],0.6982443676153167
186,105.0538013578737,0.8,dend,L5PCtemplate[186].dend[68],0.6672832519382013
187,125.3566566162255,0.8,dend,L5PCtemplate[187].dend[69],0.6156578924461371
188,146.01110421120347,0.8,dend,L5PCtemplate[188].dend[69],0.5559538425588784
189,166.66555180618144,0.8,dend,L5PCtemplate[189].dend[69],0.5107138768383805
190,187.3199994011594,0.8,dend,L5PCtemplate[190].dend[69],0.47381480002802334
191,207.97444699613737,0.8,dend,L5PCtemplate[191].dend[69],0.44220198220435236
192,124.956174973597,0.8,dend,L5PCtemplate[192].dend[70],0.643513882575931
193,144.809659283318,0.8,dend,L5PCtemplate[193].dend[70],0.6323675092200034
194,164.66314359303897,0.8,dend,L5PCtemplate[194].dend[70],0.6243578020451537
195,184.51662790275998,0.8,dend,L5PCtemplate[195].dend[70],0.6167386137756239
196,204.37011221248093,0.8,dend,L5PCtemplate[196].dend[70],0.6093962423096144
197,224.22359652220194,0.8,dend,L5PCtemplate[197].dend[70],0.5713971924451897
198,244.07708083192296,0.8,dend,L5PCtemplate[198].dend[70],0.5229660521521851
199,263.9305651416439,0.8,dend,L5PCtemplate[199].dend[70],0.4840489348758297
200,283.7840494513649,0.8,dend,L5PCtemplate[200].dend[70],0.4511797386436598
201,65.55045704893816,0.8,dend,L5PCtemplate[201].dend[72],0.7591691878364628
202,87.74733409990351,0.8,dend,L5PCtemplate[202].dend[72],0.7254887388886289
203,109.94421115086885,0.8,dend,L5PCtemplate[203].dend[72],0.697001960114477
204,132.14108820183418,0.8,dend,L5PCtemplate[204].dend[72],0.6192072942294402
