Node ID,Distance,Conductance,Type,Name,EPSP
0,114.15409302358559,0.2385473857407493,dend,L5PCtemplate[0].dend[32],1.130084183278683
1,120.38868854121658,0.2418419645402294,dend,L5PCtemplate[1].dend[33],1.0975430797574575
2,133.03318673269888,0.24866414284574853,dend,L5PCtemplate[2].dend[77],1.0700838820165188
3,86.19613726756356,0.2243166609291853,dend,L5PCtemplate[3].dend[4],1.0290138523713495
4,158.1431732900972,0.26278775887180333,dend,L5PCtemplate[4].dend[28],1.084745393847541
5,123.36762958838811,0.24343216747310864,dend,L5PCtemplate[5].dend[24],1.102975078943615
6,43.79339593421373,0.2043368853464588,dend,L5PCtemplate[6].dend[64],1.0559214391235656
7,228.72377489782724,0.2847449934745774,apic,L5PCtemplate[7].apic[86],1.041093232432246
8,335.08384923474097,0.35006593860659263,apic,L5PCtemplate[8].apic[13],1.0321189198788119
9,515.739675963821,0.49716144155499803,apic,L5PCtemplate[9].apic[36],0.9858548639454909
10,1153.894137104828,3.234625359780993,apic,L5PCtemplate[10].apic[78],0.8771188068255498
11,337.33349416475295,0.3515984793423831,apic,L5PCtemplate[11].apic[34],0.9864470445720315
12,320.3812671851626,0.34021317338934937,apic,L5PCtemplate[12].apic[12],1.0298214615872183
13,296.70507413250823,0.3249263437382861,apic,L5PCtemplate[13].apic[12],1.0146711030729563
14,1177.809648982745,3.5555149348981687,apic,L5PCtemplate[14].apic[78],0.6832358402008509
15,1106.0631133489935,2.6771145038503414,apic,L5PCtemplate[15].apic[78],0.8008864415438381
16,360.4140218545981,0.36771459177241306,apic,L5PCtemplate[16].apic[29],1.0183828664533223
17,121.19864059413838,0.2310893011651341,apic,L5PCtemplate[17].apic[107],1.0159553205658227
18,1192.6128077257351,3.769894340198951,apic,L5PCtemplate[18].apic[63],0.5219951075223435
19,246.5263230092218,0.2947603321903356,apic,L5PCtemplate[19].apic[95],1.0474193254592166
